tic,datadate,conm,cshtrd,prccd,prchd,prcld,prcod,gvkey
AAPL,2010-01-04,APPLE INC,17540960.00000000,214.01000000,214.50000000,212.38000000,213.43000000,001690
AAPL,2010-01-05,APPLE INC,21474930.00000000,214.38000000,215.59000000,213.25000000,214.60000000,001690
AAPL,2010-01-06,APPLE INC,19642030.00000000,210.97000000,215.23000000,210.75000000,214.38000000,001690
AAPL,2010-01-07,APPLE INC,17013540.00000000,210.58000000,212.00000000,209.05000000,211.75000000,001690
AAPL,2010-01-08,APPLE INC,15972090.00000000,211.98000000,212.00000000,209.06000000,210.30000000,001690
AAPL,2010-01-11,APPLE INC,16467400.00000000,210.11000000,213.00000000,208.45000000,212.80000000,001690
AAPL,2010-01-12,APPLE INC,21186100.00000000,207.72000000,209.77000000,206.42000000,209.19000000,001690
AAPL,2010-01-13,APPLE INC,21579390.00000000,210.65000000,210.93000000,204.10000000,207.87000000,001690
AAPL,2010-01-14,APPLE INC,15445080.00000000,209.43000000,210.46000000,209.02000000,210.11000000,001690
AAPL,2010-01-15,APPLE INC,21207920.00000000,205.93000000,211.60000000,205.87000000,210.93000000,001690
AAPL,2010-01-19,APPLE INC,26025700.00000000,215.04000000,215.19000000,207.24000000,208.33000000,001690
AAPL,2010-01-20,APPLE INC,21813630.00000000,211.72500000,215.55000000,209.50000000,214.91000000,001690
AAPL,2010-01-21,APPLE INC,21675770.00000000,208.07200000,213.31380000,207.21000000,212.08000000,001690
AAPL,2010-01-22,APPLE INC,31288170.00000000,197.75000000,207.50000000,197.16000000,206.78000000,001690
AAPL,2010-01-25,APPLE INC,36594380.00000000,203.07500000,204.70000000,200.19000000,202.51000000,001690
AAPL,2010-01-26,APPLE INC,66426150.00000000,205.94000000,213.71000000,202.58000000,205.95000000,001690
AAPL,2010-01-27,APPLE INC,61461850.00000000,207.88400000,210.58000000,199.53100000,206.85000000,001690
AAPL,2010-01-28,APPLE INC,41832000.00000000,199.29000000,205.50000000,198.70000000,204.93000000,001690
AAPL,2010-01-29,APPLE INC,44435740.00000000,192.06300000,202.20000000,190.25000000,201.08000000,001690
AAPL,2010-02-01,APPLE INC,26693820.00000000,194.73000000,196.00000000,191.30000000,192.37000000,001690
AAPL,2010-02-02,APPLE INC,24922390.00000000,195.86000000,196.32000000,193.38000000,195.91000000,001690
AAPL,2010-02-03,APPLE INC,21932050.00000000,199.23000000,200.20000000,194.42000000,195.17000000,001690
AAPL,2010-02-04,APPLE INC,26996380.00000000,192.05000000,198.37000000,191.57000000,196.73000000,001690
AAPL,2010-02-05,APPLE INC,30334570.00000000,195.46000000,196.00000000,190.85000000,192.62500000,001690
AAPL,2010-02-08,APPLE INC,17020060.00000000,194.12000000,197.88000000,194.00000000,195.69000000,001690
AAPL,2010-02-09,APPLE INC,22586290.00000000,196.19000000,197.50000000,194.75000000,196.42000000,001690
AAPL,2010-02-10,APPLE INC,13187060.00000000,195.11600000,196.60000000,194.26000000,195.89000000,001690
AAPL,2010-02-11,APPLE INC,19509930.00000000,198.67000000,199.75000000,194.06000000,194.88000000,001690
AAPL,2010-02-12,APPLE INC,22983380.00000000,200.38000000,201.64000000,195.50000000,198.11000000,001690
AAPL,2010-02-16,APPLE INC,19375910.00000000,203.40000000,203.69000000,201.52000000,201.94000000,001690
AAPL,2010-02-17,APPLE INC,15527410.00000000,202.55000000,204.31000000,200.86000000,204.19000000,001690
AAPL,2010-02-18,APPLE INC,15042610.00000000,202.92800000,203.89000000,200.92000000,201.63000000,001690
AAPL,2010-02-19,APPLE INC,14830060.00000000,201.67000000,203.20000000,201.11000000,201.86000000,001690
